#"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
200,7352593.852782946,11307478.34946353,294984.9750931722
400,5628356.638974585,6947335.570752251,98379.35031109396
600,6462128.970529886,6886475.679526852,31650.96312911352
800,9570560.722772434,9744006.982611803,12936.924120454885
1000,20190505.48004719,20266309.298437066,5654.017835027358
1200,26570705.090788368,26606252.897849362,2651.4223081117857
1400,27586395.084145747,27602809.428795647,1224.305046527876
1600,27941278.876974717,27950947.55960156,721.1629331417178
1800,28121972.625974543,28128036.282615814,452.27303219596774
