#"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
200,7331180.034980068,11284910.023921575,294898.8632390986
400,5642854.17349031,6966560.347672855,98731.94353707386
600,6443651.6274833735,6897802.9907843685,33874.01799074436
800,9570141.19781796,9749082.66185777,13346.797702239497
1000,20182423.420485772,20262068.209317643,5940.506244768748
1200,26564945.057522975,26597960.73276084,2462.5569080209043
1400,27581490.43670527,27596939.487237375,1152.3061647567827
1600,27938163.097229205,27946843.305001363,647.4350579954317
1800,28118326.292110134,28124323.007234257,447.2800313170525
