#"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
200,125365.6258983093,150216.86057680115,1853.5916406211952
400,104335.6566995359,122056.08673467836,1321.7226993466304
600,105113.30223550709,116139.23572892009,822.3968916572111
800,133400.46252245814,142995.1265428261,715.642069812939
1000,236015.22092508065,263499.75755794026,2050.00306858425
1200,237010.64049575466,277574.4936598191,3025.556681953096
1400,219602.85342458414,236383.99149075954,1251.6632530332097
1600,215776.12434139248,223487.0050045932,575.1353654676395
1800,212749.91349045216,218971.50475414217,464.0529819517799
